Name	AccessionID	File	TaxonID	URL
Cannabis_sativa	GCF_900626175.2	GCF_900626175.2_cs10_protein.faa	3483	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/626/175/GCF_900626175.2_cs10/GCF_900626175.2_cs10_protein.faa.gz
Selaginella_moellendorffii	GCF_000143415.4	GCF_000143415.4_v1.0_protein.faa	88036	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/143/415/GCF_000143415.4_v1.0/GCF_000143415.4_v1.0_protein.faa.gz
Physcomitrium_patens	GCF_000002425.4	GCF_000002425.4_Phypa_V3_protein.faa	3218	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/425/GCF_000002425.4_Phypa_V3/GCF_000002425.4_Phypa_V3_protein.faa.gz
Amborella_trichopoda	GCF_000471905.2	GCF_000471905.2_AMTR1.0_protein.faa	13333	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/471/905/GCF_000471905.2_AMTR1.0/GCF_000471905.2_AMTR1.0_protein.faa.gz
Chlamydomonas_reinhardtii	GCF_000002595.2	GCF_000002595.2_Chlamydomonas_reinhardtii_v5.5_protein.faa	3055	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/595/GCF_000002595.2_Chlamydomonas_reinhardtii_v5.5/GCF_000002595.2_Chlamydomonas_reinhardtii_v5.5_protein.faa.gz
Volvox_carteri	GCF_000143455.1	GCF_000143455.1_v1.0_protein.faa	3068	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/143/455/GCF_000143455.1_v1.0/GCF_000143455.1_v1.0_protein.faa.gz
Micromonas_pusilla	GCF_000151265.2	GCF_000151265.2_Micromonas_pusilla_CCMP1545_v2.0_protein.faa	564608	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/265/GCF_000151265.2_Micromonas_pusilla_CCMP1545_v2.0/GCF_000151265.2_Micromonas_pusilla_CCMP1545_v2.0_protein.faa.gz
Thermotoga_maritima	GCF_000230655.2	GCF_000230655.2_ASM23065v3_protein.faa	243274	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/230/655/GCF_000230655.2_ASM23065v3/GCF_000230655.2_ASM23065v3_protein.faa.gz
Yarrowia_lipolytica	GCF_000002525.2	GCF_000002525.2_ASM252v1_protein.faa	284591	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/525/GCF_000002525.2_ASM252v1/GCF_000002525.2_ASM252v1_protein.faa.gz
Synechococcus_elongatus	GCF_000012525.1	GCF_000012525.1_ASM1252v1_protein.faa	32046	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/525/GCF_000012525.1_ASM1252v1/GCF_000012525.1_ASM1252v1_protein.faa.gz
Homo_sapiens	GCF_000001405.40	GCF_000001405.40_GRCh38.p14_protein.faa	0	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.40_GRCh38.p14/GCF_000001405.40_GRCh38.p14_protein.faa.gz
